,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,foreign_worker,credit_risk
551,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,repairs,2096,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,49,none,rent,1,unskilled - resident,3 or more,no,good
552,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,1101,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : single,none,1 <= ... < 4 yrs,unknown / no property,27,none,rent,2-3,skilled employee/official,0 to 2,no,good
553,... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,vacation,894,... >= 1000 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,car or other,40,none,rent,1,skilled employee/official,0 to 2,no,good
554,... < 0 DM,11,no credits taken/all credits paid back duly,car (used),1577,500 <= ... < 1000 DM,< 1 yr,< 20,female : non-single or male : single,none,< 1 yr,unknown / no property,20,none,rent,1,skilled employee/official,0 to 2,no,good
555,... >= 200 DM / salary for at least 1 year,33,existing credits paid back duly till now,retraining,2764,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,skilled employee/official,0 to 2,no,good
556,... < 0 DM,48,delay in paying off in the past,others,8358,100 <= ... <  500 DM,< 1 yr,>= 35,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,30,none,rent,2-3,skilled employee/official,0 to 2,no,good
557,0<= ... < 200 DM,12,no credits taken/all credits paid back duly,car (used),1474,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,< 1 yr,car or other,33,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
558,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),5433,... >= 1000 DM,unemployed,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,car or other,26,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
559,... < 0 DM,14,no credits taken/all credits paid back duly,retraining,1410,100 <= ... <  500 DM,>= 7 yrs,>= 35,female : single,none,1 <= ... < 4 yrs,unknown / no property,35,none,rent,1,skilled employee/official,0 to 2,no,good
560,... >= 200 DM / salary for at least 1 year,20,all credits at this bank paid back duly,others,3485,... >= 1000 DM,< 1 yr,25 <= ... < 35,male : divorced/separated,none,>= 7 yrs,unknown / no property,44,none,rent,2-3,skilled employee/official,0 to 2,no,good
561,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,car (new),3850,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,27,none,rent,2-3,skilled employee/official,0 to 2,no,good
562,... < 0 DM,60,no credits taken/all credits paid back duly,others,7408,... <  100 DM,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,24,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
563,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,furniture/equipment,1377,... <  100 DM,>= 7 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,real estate,47,none,own,1,skilled employee/official,0 to 2,no,good
564,... >= 200 DM / salary for at least 1 year,30,existing credits paid back duly till now,retraining,4272,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,26,none,rent,2-3,unskilled - resident,0 to 2,no,good
565,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,1553,... <  100 DM,4 <= ... < 7 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,23,none,for free,2-3,skilled employee/official,0 to 2,no,good
566,... < 0 DM,36,existing credits paid back duly till now,retraining,9857,... <  100 DM,4 <= ... < 7 yrs,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,car or other,31,none,rent,2-3,unskilled - resident,3 or more,no,good
567,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,others,362,... <  100 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,52,none,rent,2-3,unskilled - resident,0 to 2,no,good
568,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,car (used),1935,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,43,none,rent,4-5,skilled employee/official,0 to 2,no,good
569,... >= 200 DM / salary for at least 1 year,48,no credits taken/all credits paid back duly,furniture/equipment,10222,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,37,stores,rent,1,skilled employee/official,0 to 2,no,good
570,0<= ... < 200 DM,12,no credits taken/all credits paid back duly,others,1330,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,< 1 yr,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,good
571,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,repairs,9055,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,35,none,own,1,unskilled - resident,3 or more,no,good
572,... < 0 DM,26,no credits taken/all credits paid back duly,car (new),7966,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,30,none,rent,2-3,skilled employee/official,0 to 2,no,good
573,... < 0 DM,30,critical account/other credits elsewhere,car (used),3496,500 <= ... < 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,34,stores,rent,1,skilled employee/official,3 or more,no,good
574,... < 0 DM,36,no credits taken/all credits paid back duly,car (new),6948,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,35,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
575,... < 0 DM,48,delay in paying off in the past,retraining,12204,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,48,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
576,no checking account,36,no credits taken/all credits paid back duly,car (used),3446,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,3 or more,no,bad
577,no checking account,12,no credits taken/all credits paid back duly,repairs,684,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,for free,1,unskilled - resident,3 or more,no,bad
578,no checking account,33,all credits at this bank paid back duly,car (used),4281,100 <= ... <  500 DM,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,rent,2-3,skilled employee/official,0 to 2,no,bad
579,no checking account,42,no credits taken/all credits paid back duly,furniture/equipment,7174,... >= 1000 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,30,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
580,no checking account,24,critical account/other credits elsewhere,furniture/equipment,1546,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,guarantor,>= 7 yrs,building soc. savings agr./life insurance,24,bank,for free,1,unskilled - resident,0 to 2,no,bad
581,no checking account,24,no credits taken/all credits paid back duly,car (used),2359,... <  100 DM,unemployed,>= 35,male : divorced/separated,none,< 1 yr,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,bad
582,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,3621,... <  100 DM,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,31,none,rent,2-3,skilled employee/official,0 to 2,no,bad
583,no checking account,12,no credits taken/all credits paid back duly,radio/television,741,... <  100 DM,unemployed,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,bad
584,no checking account,12,no credits taken/all credits paid back duly,car (used),7865,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,53,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
585,no checking account,24,no credits taken/all credits paid back duly,car (new),2910,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,real estate,34,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
586,no checking account,18,all credits at this bank paid back duly,others,5302,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,36,none,own,4-5,manager/self-empl./highly qualif. employee,0 to 2,no,good
587,no checking account,36,no credits taken/all credits paid back duly,car (used),3620,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,guarantor,1 <= ... < 4 yrs,car or other,37,none,rent,1,skilled employee/official,3 or more,no,good
588,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,3509,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,guarantor,< 1 yr,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,good
589,... < 0 DM,12,no credits taken/all credits paid back duly,car (used),3017,unknown/no savings account,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,< 1 yr,unknown / no property,34,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
590,no checking account,12,no credits taken/all credits paid back duly,car (used),1657,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,good
591,no checking account,8,all credits at this bank paid back duly,business,1164,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,51,bank,own,2-3,manager/self-empl./highly qualif. employee,3 or more,no,good
592,no checking account,36,all credits at this bank paid back duly,car (used),6229,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,co-applicant,>= 7 yrs,real estate,23,none,for free,2-3,unskilled - resident,0 to 2,no,bad
593,no checking account,24,critical account/other credits elsewhere,others,1193,unknown/no savings account,unemployed,>= 35,female : non-single or male : single,co-applicant,>= 7 yrs,real estate,29,none,for free,2-3,unemployed/unskilled - non-resident,0 to 2,no,bad
594,no checking account,30,delay in paying off in the past,car (used),4583,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : divorced/separated,guarantor,1 <= ... < 4 yrs,unknown / no property,32,none,rent,2-3,skilled employee/official,0 to 2,no,good
595,no checking account,36,all credits at this bank paid back duly,car (used),5371,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,guarantor,1 <= ... < 4 yrs,car or other,28,none,rent,2-3,skilled employee/official,0 to 2,no,good
596,no checking account,12,no credits taken/all credits paid back duly,car (used),708,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,guarantor,4 <= ... < 7 yrs,car or other,38,none,rent,1,unskilled - resident,3 or more,no,good
597,no checking account,21,all credits at this bank paid back duly,others,571,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,65,none,rent,2-3,skilled employee/official,0 to 2,no,good
598,no checking account,30,no credits taken/all credits paid back duly,furniture/equipment,2522,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,guarantor,4 <= ... < 7 yrs,car or other,39,none,rent,1,skilled employee/official,3 or more,no,good
599,no checking account,36,no credits taken/all credits paid back duly,car (used),5179,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,29,none,rent,1,skilled employee/official,0 to 2,no,bad
600,no checking account,36,no credits taken/all credits paid back duly,car (new),8229,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,26,none,rent,1,skilled employee/official,3 or more,no,bad
601,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (used),2028,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,30,none,rent,2-3,unskilled - resident,0 to 2,no,good
602,no checking account,6,no credits taken/all credits paid back duly,others,1374,... >= 1000 DM,unemployed,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,car or other,75,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
603,no checking account,12,no credits taken/all credits paid back duly,car (used),1289,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,guarantor,< 1 yr,car or other,21,none,rent,1,unskilled - resident,0 to 2,no,good
604,no checking account,36,no credits taken/all credits paid back duly,car (used),2712,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,41,bank,rent,1,skilled employee/official,3 or more,no,bad
605,no checking account,15,all credits at this bank paid back duly,car (used),975,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : divorced/separated,none,4 <= ... < 7 yrs,car or other,25,none,rent,2-3,skilled employee/official,0 to 2,no,good
606,... < 0 DM,6,existing credits paid back duly till now,car (used),1050,unknown/no savings account,unemployed,< 20,male : married/widowed,none,< 1 yr,car or other,35,stores,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes,good
607,no checking account,6,all credits at this bank paid back duly,others,609,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,car or other,37,none,rent,2-3,skilled employee/official,0 to 2,no,good
